tipo_celular,module_size,RPL37_MM,RPL37_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.38,75.0,98,23,23.47,2.77 (1.95-3.59),75,76.53,3.38 (2.82-3.95),37.12,6.20
T cells 18,506,0.149,36.0,225,28,12.44,2.65 (2.16-3.14),197,87.56,3.78 (3.51-4.05),24.09,5.60
astrocytes 5,328,0.127,29.0,128,12,9.38,3.67 (3.13-4.21),116,90.62,3.56 (3.18-3.93),17.33,5.67
oligodendrocyte progenitor cells 7,448,0.294,89.0,108,13,12.04,4.09 (2.95-5.24),95,87.96,3.15 (2.68-3.62),29.09,15.48
GABA neurons expressing GLU receptors 22,487,0.305,78.0,73,16,21.92,2.65 (2.00-3.30),57,78.08,2.78 (2.32-3.24),13.71,5.54
GLU like neurons 17,1316,0.115,43.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.1,15.0,410,19,4.63,3.10 (2.44-3.76),391,95.37,4.31 (4.12-4.50),13.56,7.22
GABA neurons expressing GABA receptors 13,70,0.112,8.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,916,0.371,81.0,302,11,3.64,3.18 (2.03-4.33),291,96.36,4.01 (3.78-4.24),39.76,9.55
oligodendrocytes 20,938,0.113,42.0,169,16,9.47,2.69 (1.92-3.47),153,90.53,3.56 (3.34-3.79),16.86,4.16
GABA like neurons 14,2402,0.244,54.0,455,28,6.15,1.99 (1.44-2.55),427,93.85,4.53 (4.35-4.71),26.45,7.68
astrocytes 8,727,0.062,19.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,1049,0.352,94.0,235,14,5.96,3.55 (3.00-4.09),221,94.04,3.84 (3.60-4.08),28.42,6.30
oligodendrocytes 10,483,0.281,80.0,129,13,10.08,3.57 (3.00-4.15),116,89.92,3.42 (2.99-3.84),43.05,16.52
connective tissue cells 21,301,0.236,12.0,158,21,13.29,2.89 (2.25-3.53),137,86.71,4.51 (4.12-4.91),26.38,4.11
astrocytes 15,443,0.111,20.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,96,0.223,48.0,102,29,28.43,2.13 (1.63-2.64),73,71.57,3.83 (3.48-4.18),17.25,3.85
da neurons 6,448,0.096,43.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,253,0.204,23.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,1807,0.117,9.0,104,15,14.42,1.39 (1.00-1.78),89,85.58,3.13 (2.85-3.42),8.50,4.87
oligodendrocytes 0,546,0.097,10.0,252,31,12.3,2.41 (1.72-3.10),221,87.7,4.37 (4.13-4.61),23.79,6.02
microglia 1,406,0.367,74.0,278,13,4.68,3.86 (3.34-4.38),265,95.32,4.39 (4.10-4.67),40.83,5.06
oligodendrocytes 3,303,0.112,40.0,154,14,9.09,4.09 (2.95-5.24),140,90.91,3.58 (3.25-3.91),45.47,8.48
oligodendrocytes 2,526,0.143,13.0,213,11,5.16,3.69 (3.08-4.30),202,94.84,3.99 (3.71-4.28),41.35,6.12
