tipo_celular,module_size,NUP98_MM,NUP98_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.27,92.0,97,1,1.03,5.72 (NA-NA),96,98.97,3.02 (2.63-3.41),1.66,4.94
T cells 18,518.0,0.169,60.0,131,12,9.16,3.28 (2.79-3.77),119,90.84,3.05 (2.76-3.35),3.31,4.90
astrocytes 5,423.0,0.126,33.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.206,75.0,127,7,5.51,1.53 (1.08-1.97),120,94.49,4.04 (3.71-4.37),4.97,5.89
GABA neurons expressing GLU receptors 22,823.0,0.158,36.0,23,4,17.39,2.61 (0.99-4.24),19,82.61,2.35 (1.52-3.18),2.19,3.68
GLU like neurons 17,1247.0,0.091,19.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30),2.65,3.27
da like neurons 11,853.0,0.151,64.0,133,54,40.6,2.33 (1.94-2.72),79,59.4,4.02 (3.64-4.40),4.92,3.65
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.171,48.0,141,9,6.38,2.97 (1.73-4.21),132,93.62,2.96 (2.72-3.20),3.88,7.02
oligodendrocytes 20,403.0,0.211,81.0,18,12,66.67,1.29 (0.69-1.88),6,33.33,3.06 (1.82-4.30),4.58,2.23
GABA like neurons 14,2090.0,0.158,53.0,74,12,16.22,2.44 (1.74-3.14),62,83.78,3.03 (2.61-3.46),3.77,11.80
astrocytes 8,577.0,0.138,77.0,83,6,7.23,2.52 (0.55-4.49),77,92.77,3.30 (2.84-3.76),1.96,4.67
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,75,27.17,2.48 (2.22-2.75),201,72.83,4.03 (3.77-4.28),8.78,3.74
oligodendrocytes 10,2107.0,0.268,85.0,358,114,31.84,2.87 (2.56-3.19),244,68.16,4.47 (4.28-4.66),17.33,5.80
connective tissue cells 21,114.0,0.283,54.0,11,3,27.27,2.25 (-0.64-5.14),8,72.73,1.33 (0.31-2.35),2.32,2.07
astrocytes 15,338.0,0.114,20.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,51.0,0.26,70.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,41.0,0.291,28.0,3,0,0.0,NA,3,100.0,NA,NA,1.65
astrocytes 4,514.0,0.196,58.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,2078.0,0.134,87.0,238,36,15.13,3.97 (3.36-4.58),202,84.87,3.58 (3.34-3.81),5.49,4.94
microglia 1,480.0,0.222,64.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,1003.0,0.064,14.0,111,5,4.5,4.00 (2.78-5.22),106,95.5,3.27 (2.91-3.62),3.42,4.27
oligodendrocytes 2,921.0,0.135,45.0,200,52,26.0,4.02 (3.59-4.46),148,74.0,3.49 (3.17-3.81),4.53,3.09
