tipo_celular,module_size,STMN4_MM,STMN4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.286,91.0,127,4,3.15,1.53 (0.29-2.76),123,96.85,3.94 (3.61-4.28),5.85,5.84
GABA neurons expressing GLU receptors 22,487.0,0.37,88.0,73,1,1.37,3.22 (NA-NA),72,98.63,2.75 (2.36-3.14),1.45,7.41
GLU like neurons 17,637.0,0.25,75.0,91,18,19.78,2.84 (2.03-3.64),73,80.22,5.07 (4.50-5.64),3.59,2.93
da like neurons 11,1220.0,0.132,30.0,410,5,1.22,3.79 (-0.23-7.81),405,98.78,4.25 (4.07-4.44),5.75,7.54
GABA neurons expressing GABA receptors 13,73.0,0.189,71.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.336,97.0,169,3,1.78,0.83 (-0.08-1.73),166,98.22,3.54 (3.33-3.75),3.14,5.40
GABA like neurons 14,2402.0,0.548,92.0,455,7,1.54,1.83 (0.66-3.01),448,98.46,4.39 (4.20-4.57),24.91,8.58
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.147,74.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,1277.0,0.161,77.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,105.0,0.137,5.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,729.0,0.073,9.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.274,85.0,252,5,1.98,1.39 (0.33-2.45),247,98.02,4.16 (3.92-4.41),13.37,8.11
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.12,85.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.47,90.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
