tipo_celular,module_size,AP1M1_MM,AP1M1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.128,29.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,36,10.2,2.50 (2.02-2.97),317,89.8,4.10 (3.91-4.29),19.79,6.73
GABA neurons expressing GLU receptors 22,703.0,0.208,63.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,489.0,0.128,42.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,1220.0,0.096,14.0,410,37,9.02,3.25 (2.85-3.65),373,90.98,4.36 (4.17-4.56),12.45,7.03
GABA neurons expressing GABA receptors 13,77.0,0.161,45.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,338.0,0.067,10.0,191,15,7.85,3.48 (3.10-3.86),176,92.15,3.93 (3.68-4.17),5.27,9.49
oligodendrocytes 20,938.0,0.076,25.0,169,24,14.2,2.82 (2.28-3.35),145,85.8,3.58 (3.34-3.81),6.61,5.16
GABA like neurons 14,2402.0,0.2,41.0,455,52,11.43,3.33 (2.87-3.79),403,88.57,4.51 (4.31-4.70),17.28,7.75
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,23,8.33,3.00 (2.54-3.46),253,91.67,3.61 (3.37-3.84),8.69,4.78
oligodendrocytes 10,806.0,0.176,56.0,261,29,11.11,3.26 (2.83-3.68),232,88.89,4.51 (4.25-4.77),8.59,5.75
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.177,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.116,33.0,159,11,6.92,4.43 (4.02-4.83),148,93.08,4.36 (4.02-4.69),3.73,3.73
astrocytes microglia 23,132.0,0.331,54.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.075,3.0,238,11,4.62,3.16 (2.34-3.98),227,95.38,3.66 (3.44-3.89),5.58,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.052,10.0,76,1,1.32,3.60 (NA-NA),75,98.68,3.15 (2.75-3.55),7.07,7.29
oligodendrocytes 2,1630.0,0.124,18.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
