tipo_celular,module_size,SHROOM4_MM,SHROOM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,229.0,0.17,40.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.436,94.0,91,24,26.37,2.79 (1.86-3.71),67,73.63,5.33 (4.85-5.82),3.33,2.96
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.258,66.0,120,16,13.33,4.53 (3.83-5.23),104,86.67,4.62 (4.27-4.97),3.14,3.73
oligodendrocytes 20,676.0,0.418,70.0,110,20,18.18,4.57 (3.89-5.24),90,81.82,5.10 (4.57-5.64),3.48,3.53
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.34,89.0,32,11,34.38,1.82 (0.43-3.21),21,65.62,3.92 (3.06-4.78),3.40,2.18
oligodendrocytes 10,236.0,0.574,72.0,82,11,13.41,4.55 (3.77-5.34),71,86.59,5.07 (4.48-5.66),3.48,3.89
connective tissue cells 21,250.0,0.354,63.0,117,23,19.66,3.85 (3.15-4.54),94,80.34,5.81 (5.39-6.23),3.57,3.78
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,287.0,0.323,54.0,105,28,26.67,4.31 (3.70-4.93),77,73.33,5.45 (4.88-6.02),4.28,3.18
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,261.0,0.138,22.0,42,17,40.48,3.91 (2.90-4.91),25,59.52,4.18 (3.21-5.16),2.65,2.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,99.0,0.162,21.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237.0,0.265,70.0,26,2,7.69,4.70 (NA-NA),24,92.31,5.28 (4.24-6.31),1.82,2.61
