tipo_celular,module_size,SRP9_MM,SRP9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.13,25.0,225,13,5.78,3.01 (1.80-4.23),212,94.22,3.66 (3.41-3.91),8.67,7.86
astrocytes 5,1656.0,0.14,86.0,136,9,6.62,3.18 (2.42-3.93),127,93.38,3.21 (2.92-3.50),4.14,5.05
oligodendrocyte progenitor cells 7,628.0,0.157,45.0,164,17,10.37,5.10 (4.25-5.94),147,89.63,3.92 (3.57-4.26),5.71,7.74
GABA neurons expressing GLU receptors 22,400.0,0.37,95.0,24,15,62.5,1.83 (1.14-2.52),9,37.5,2.70 (2.09-3.32),4.23,2.50
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.279,77.0,410,32,7.8,4.16 (3.47-4.85),378,92.2,4.26 (4.06-4.45),9.14,7.38
GABA neurons expressing GABA receptors 13,73.0,0.181,62.0,16,1,6.25,NA,15,93.75,2.22 (1.28-3.17),2.06,9.76
endothelial cells 9,916.0,0.188,44.0,302,15,4.97,4.43 (3.20-5.66),287,95.03,3.95 (3.72-4.17),5.05,10.95
oligodendrocytes 20,403.0,0.129,52.0,18,7,38.89,0.97 (0.22-1.72),11,61.11,2.45 (1.59-3.31),6.07,2.34
GABA like neurons 14,2402.0,0.373,76.0,455,36,7.91,3.13 (2.44-3.82),419,92.09,4.48 (4.29-4.66),20.69,7.82
astrocytes 8,520.0,0.086,34.0,288,22,7.64,3.45 (2.71-4.18),266,92.36,4.25 (4.05-4.46),7.90,4.42
oligodendrocyte progenitor cells 12,1049.0,0.102,56.0,235,13,5.53,4.95 (3.86-6.03),222,94.47,3.74 (3.51-3.97),6.41,7.69
oligodendrocytes 10,806.0,0.127,38.0,261,17,6.51,3.72 (2.88-4.55),244,93.49,4.43 (4.17-4.68),6.48,6.04
connective tissue cells 21,106.0,0.155,4.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,268.0,0.075,43.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,94.0,0.192,40.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,729.0,0.106,26.0,182,2,1.1,2.00 (1.13-2.86),180,98.9,3.66 (3.40-3.91),25.17,8.34
astrocytes microglia 23,110.0,0.27,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.151,62.0,104,18,17.31,2.59 (1.91-3.26),86,82.69,2.92 (2.62-3.23),7.03,5.05
oligodendrocytes 0,2078.0,0.124,70.0,238,4,1.68,2.25 (-0.22-4.71),234,98.32,3.66 (3.44-3.88),5.86,5.01
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.085,32.0,345,21,6.09,4.00 (3.26-4.74),324,93.91,4.30 (4.08-4.52),8.37,5.52
oligodendrocytes 2,528.0,0.213,58.0,175,10,5.71,3.68 (2.76-4.60),165,94.29,4.44 (4.07-4.82),7.63,4.44
