tipo_celular,module_size,DNAJC8_MM,DNAJC8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.162,57.0,71,1,1.41,NA,70,98.59,2.62 (2.21-3.03),1.30,3.61
T cells 18,506.0,0.135,28.0,225,1,0.44,0.55 (NA-NA),224,99.56,3.63 (3.38-3.88),8.32,7.90
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.09,5.0,353,15,4.25,1.58 (0.98-2.19),338,95.75,4.02 (3.84-4.21),47.11,6.33
GABA neurons expressing GLU receptors 22,823.0,0.154,33.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.168,46.0,410,3,0.73,0.55 (NA-NA),407,99.27,4.26 (4.07-4.45),5.96,7.53
GABA neurons expressing GABA receptors 13,417.0,0.07,1.0,213,12,5.63,1.30 (0.75-1.86),201,94.37,3.95 (3.71-4.18),8.29,9.77
endothelial cells 9,916.0,0.177,41.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21),NA,10.65
oligodendrocytes 20,938.0,0.168,69.0,169,2,1.18,0.55 (NA-NA),167,98.82,3.50 (3.29-3.72),2.59,5.40
GABA like neurons 14,2402.0,0.436,83.0,455,16,3.52,1.41 (0.78-2.03),439,96.48,4.46 (4.28-4.64),26.26,8.20
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.095,51.0,235,1,0.43,NA,234,99.57,3.82 (3.59-4.06),3.35,7.63
oligodendrocytes 10,735.0,0.144,73.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),2.28,8.97
connective tissue cells 21,142.0,0.351,74.0,55,6,10.91,0.48 (0.39-0.58),49,89.09,3.77 (2.93-4.61),3.80,3.22
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.357,99.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,729.0,0.104,25.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,110.0,0.327,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.092,5.0,127,5,3.94,3.30 (2.61-3.99),122,96.06,3.04 (2.62-3.47),4.55,6.35
microglia 1,406.0,0.086,7.0,278,1,0.36,NA,277,99.64,4.36 (4.09-4.63),1.78,6.75
oligodendrocytes 3,303.0,0.061,8.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.161,18.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
