tipo_celular,module_size,QTRT1_MM,QTRT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.055,1.0,136,7,5.15,2.78 (1.52-4.05),129,94.85,3.23 (2.96-3.51),6.95,4.88
oligodendrocyte progenitor cells 7,4285.0,0.092,5.0,353,33,9.35,1.74 (1.33-2.16),320,90.65,4.19 (4.01-4.36),26.94,6.12
GABA neurons expressing GLU receptors 22,1069.0,0.079,5.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68),2.81,3.13
GLU like neurons 17,1247.0,0.147,60.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.126,47.0,133,16,12.03,1.14 (0.83-1.46),117,87.97,3.60 (3.29-3.91),6.21,3.88
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.22,87.0,74,6,8.11,1.97 (1.61-2.33),68,91.89,3.04 (2.64-3.45),4.04,11.07
astrocytes 8,603.0,0.075,49.0,89,7,7.87,1.40 (0.90-1.90),82,92.13,2.92 (2.56-3.29),4.51,6.17
oligodendrocyte progenitor cells 12,3303.0,0.042,9.0,276,23,8.33,1.90 (1.47-2.33),253,91.67,3.73 (3.51-3.96),9.99,4.67
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.097,60.0,105,17,16.19,1.66 (1.23-2.09),88,83.81,3.54 (3.19-3.90),5.42,3.70
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.286,29.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807.0,0.158,74.0,104,23,22.12,1.70 (1.34-2.05),81,77.88,3.23 (2.92-3.54),8.78,4.44
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
