tipo_celular,module_size,KLHL2_MM,KLHL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.298,95.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,624.0,0.153,50.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141.0,0.134,53.0,166,16,9.64,2.58 (1.75-3.41),150,90.36,3.50 (3.24-3.76),5.05,4.50
oligodendrocyte progenitor cells 7,666.0,0.175,57.0,127,1,0.79,7.00 (NA-NA),126,99.21,3.79 (3.46-4.13),1.59,5.87
GABA neurons expressing GLU receptors 22,599.0,0.215,53.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,637.0,0.195,62.0,91,9,9.89,1.10 (0.18-2.01),82,90.11,4.94 (4.46-5.42),3.88,2.97
da like neurons 11,87.0,0.307,55.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.184,43.0,120,3,2.5,4.38 (1.80-6.95),117,97.5,4.61 (4.30-4.93),3.82,3.65
oligodendrocytes 20,228.0,0.135,25.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,3052.0,0.124,37.0,125,3,2.4,3.54 (2.65-4.43),122,97.6,3.35 (3.01-3.68),6.09,8.67
astrocytes 8,727.0,0.202,90.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84),2.85,3.57
oligodendrocyte progenitor cells 12,708.0,0.15,66.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.124,60.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,126.0,0.338,80.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79),3.29,1.65
astrocytes 15,1768.0,0.132,84.0,105,15,14.29,2.24 (1.49-3.00),90,85.71,3.39 (3.03-3.75),5.85,3.67
oligodendrocytes 16,94.0,0.157,16.0,5,1,20.0,3.78 (NA-NA),4,80.0,2.59 (1.15-4.04),2.44,1.72
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.243,39.0,57,8,14.04,4.07 (3.20-4.93),49,85.96,2.46 (2.10-2.82),3.05,3.38
astrocytes 4,752.0,0.158,57.0,96,5,5.21,3.60 (1.91-5.28),91,94.79,3.27 (2.93-3.60),3.12,4.39
oligodendrocytes 0,1186.0,0.144,48.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,813.0,0.287,99.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.129,83.0,76,4,5.26,2.75 (0.93-4.56),72,94.74,2.78 (2.45-3.12),3.58,4.78
oligodendrocytes 2,804.0,0.195,87.0,84,13,15.48,2.96 (1.99-3.93),71,84.52,2.62 (2.27-2.97),3.11,3.45
