tipo_celular,module_size,MAN1B1_MM,MAN1B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.095,20.0,136,4,2.94,3.13 (2.35-3.91),132,97.06,3.21 (2.93-3.49),2.95,5.05
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,703.0,0.167,38.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,75.0,0.147,41.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.139,21.0,455,31,6.81,2.67 (2.00-3.35),424,93.19,4.50 (4.31-4.68),22.28,7.85
astrocytes 8,603.0,0.084,55.0,89,5,5.62,2.29 (0.39-4.19),84,94.38,2.80 (2.45-3.15),4.45,6.14
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.04,4.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18),3.04,1.99
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.111,51.0,122,24,19.67,2.78 (2.04-3.53),98,80.33,4.34 (3.91-4.77),3.85,3.39
astrocytes microglia 23,125.0,0.262,15.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,1807.0,0.139,40.0,104,17,16.35,2.29 (1.66-2.92),87,83.65,2.98 (2.68-3.29),8.93,4.71
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
