tipo_celular,module_size,CDC42EP4_MM,CDC42EP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.113,25.0,28,5,17.86,3.99 (2.11-5.87),23,82.14,5.64 (5.14-6.13),1.91,2.53
oligodendrocyte progenitor cells 7,666.0,0.28,90.0,127,16,12.6,2.91 (2.10-3.73),111,87.4,4.04 (3.69-4.40),4.12,6.08
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.261,60.0,62,5,8.06,5.89 (5.76-6.02),57,91.94,3.86 (3.40-4.31),2.00,4.40
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.143,85.0,66,18,27.27,2.46 (1.73-3.18),48,72.73,3.58 (3.10-4.06),3.70,2.67
oligodendrocyte progenitor cells 12,1049.0,0.065,30.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07),1.98,7.64
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,73.0,0.35,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.128,82.0,96,23,23.96,4.27 (3.55-5.00),73,76.04,3.37 (2.83-3.92),4.14,3.69
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.251,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,251.0,0.136,28.0,34,4,11.76,3.86 (2.16-5.55),30,88.24,5.51 (4.90-6.12),2.55,3.14
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
