tipo_celular,module_size,SPNS2_MM,SPNS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,380.0,0.206,75.0,39,1,2.56,2.06 (NA-NA),38,97.44,2.99 (2.43-3.56),2.22,2.58
da like neurons 11,853.0,0.187,79.0,133,6,4.51,1.87 (0.51-3.23),127,95.49,3.33 (3.02-3.65),3.68,4.18
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.159,32.0,120,15,12.5,3.35 (2.65-4.06),105,87.5,4.82 (4.49-5.15),5.28,3.42
oligodendrocytes 20,322.0,0.08,29.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090.0,0.201,79.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.122,59.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,75.0,0.095,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.289,50.0,99,9,9.09,5.18 (4.19-6.17),90,90.91,4.20 (3.85-4.55),4.01,3.16
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.105,7.0,300,2,0.67,2.26 (1.87-2.65),298,99.33,3.81 (3.60-4.01),3.12,4.16
microglia 1,315.0,0.185,57.0,144,3,2.08,2.94 (1.08-4.80),141,97.92,4.50 (4.19-4.81),4.45,4.20
oligodendrocytes 3,187.0,0.098,45.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,131.0,0.146,27.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
