tipo_celular,module_size,UBE2Q2_MM,UBE2Q2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.179,77.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.139,57.0,353,29,8.22,2.06 (1.44-2.69),324,91.78,4.07 (3.89-4.25),27.39,6.33
GABA neurons expressing GLU receptors 22,714.0,0.231,74.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,1316.0,0.033,1.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,204.0,0.217,63.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.069,7.0,297,11,3.7,4.06 (3.15-4.97),286,96.3,3.66 (3.46-3.87),9.95,5.35
oligodendrocytes 20,938.0,0.158,66.0,169,8,4.73,3.00 (1.41-4.59),161,95.27,3.51 (3.29-3.72),4.34,5.41
GABA like neurons 14,3052.0,0.155,64.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68),3.77,8.86
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.041,8.0,276,19,6.88,2.57 (1.77-3.37),257,93.12,3.62 (3.39-3.84),12.76,4.54
oligodendrocytes 10,2107.0,0.117,37.0,358,32,8.94,2.06 (1.44-2.69),326,91.06,4.05 (3.86-4.24),26.34,7.82
connective tissue cells 21,114.0,0.239,30.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.159,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.094,46.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,116.0,0.291,31.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.104,29.0,238,15,6.3,3.33 (2.49-4.16),223,93.7,3.65 (3.43-3.88),5.84,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.05,6.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14),3.40,4.79
oligodendrocytes 2,347.0,0.147,21.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
