tipo_celular,module_size,CDH12_MM,CDH12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,8,2.27,1.59 (0.89-2.28),345,97.73,3.96 (3.77-4.14),13.75,7.93
GABA neurons expressing GLU receptors 22,823.0,0.331,98.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,795.0,0.248,86.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,137.0,0.363,81.0,2,1,50.0,NA,1,50.0,5.16 (NA-NA),1.87,1.40
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.328,92.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,1300.0,0.153,24.0,306,27,8.82,4.14 (3.29-5.00),279,91.18,5.22 (4.95-5.49),7.79,6.60
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,6,2.17,1.80 (0.84-2.77),270,97.83,3.58 (3.36-3.80),8.03,5.05
oligodendrocytes 10,1277.0,0.122,59.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31),3.23,6.50
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,149.0,0.305,77.0,70,2,2.86,7.73 (6.65-8.81),68,97.14,5.56 (5.09-6.04),2.95,3.33
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.415,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,86.0,0.203,73.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.077,42.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,347.0,0.181,43.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
