tipo_celular,module_size,TXLNG_MM,TXLNG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.101,10.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423.0,0.138,42.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,18,5.1,1.58 (0.97-2.18),335,94.9,4.04 (3.86-4.22),29.25,6.93
GABA neurons expressing GLU receptors 22,703.0,0.156,32.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,229.0,0.243,78.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,204.0,0.068,6.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.117,42.0,297,6,2.02,3.38 (2.96-3.80),291,97.98,3.68 (3.47-3.89),5.72,5.51
oligodendrocytes 20,938.0,0.089,32.0,169,5,2.96,1.37 (0.55-2.19),164,97.04,3.56 (3.34-3.77),6.33,5.33
GABA like neurons 14,2090.0,0.121,27.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577.0,0.087,51.0,83,3,3.61,0.87 (NA-NA),80,96.39,3.29 (2.84-3.74),2.01,4.56
oligodendrocyte progenitor cells 12,3303.0,0.093,67.0,276,9,3.26,1.76 (0.96-2.56),267,96.74,3.61 (3.39-3.83),7.22,5.04
oligodendrocytes 10,2107.0,0.068,13.0,358,22,6.15,1.58 (0.98-2.19),336,93.85,4.04 (3.85-4.22),22.68,8.61
connective tissue cells 21,114.0,0.273,44.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,1768.0,0.118,77.0,105,6,5.71,1.31 (0.66-1.96),99,94.29,3.34 (3.00-3.68),5.00,3.92
oligodendrocytes 16,155.0,0.201,39.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,41.0,0.265,23.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57),NA,8.62
astrocytes 4,514.0,0.145,24.0,95,4,4.21,0.90 (0.75-1.04),91,95.79,3.48 (3.05-3.90),3.18,4.71
oligodendrocytes 0,2078.0,0.13,82.0,238,2,0.84,0.21 (NA-NA),236,99.16,3.65 (3.43-3.87),7.62,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.081,36.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.132,30.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52),2.69,3.60
