tipo_celular,module_size,PKIA_MM,PKIA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.143,68.0,166,18,10.84,1.96 (1.39-2.53),148,89.16,3.59 (3.34-3.85),5.00,4.50
oligodendrocyte progenitor cells 7,666.0,0.19,66.0,127,24,18.9,4.64 (3.78-5.49),103,81.1,3.59 (3.25-3.93),3.11,6.47
GABA neurons expressing GLU receptors 22,487.0,0.189,40.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316.0,0.121,48.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41),3.61,3.05
da like neurons 11,197.0,0.288,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200.0,0.272,95.0,34,1,2.94,3.68 (NA-NA),33,97.06,3.90 (2.98-4.81),1.37,3.55
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.197,40.0,455,16,3.52,1.56 (0.72-2.40),439,96.48,4.47 (4.30-4.65),26.40,8.19
astrocytes 8,727.0,0.108,50.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.066,33.0,276,18,6.52,2.04 (1.52-2.56),258,93.48,3.68 (3.46-3.91),10.67,4.72
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.221,88.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.196,95.0,43,2,4.65,3.73 (3.62-3.83),41,95.35,3.25 (2.70-3.81),3.84,3.45
astrocytes microglia 23,96.0,0.258,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.127,14.0,95,6,6.32,1.95 (0.32-3.58),89,93.68,3.47 (3.05-3.90),2.65,4.77
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
