tipo_celular,module_size,PTPN13_MM,PTPN13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,118.0,0.295,96.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,4285.0,0.198,100.0,353,34,9.63,1.96 (1.56-2.35),319,90.37,4.17 (3.99-4.35),28.82,5.85
GABA neurons expressing GLU receptors 22,599.0,0.271,77.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,637.0,0.35,88.0,91,11,12.09,1.13 (0.42-1.84),80,87.91,5.13 (4.69-5.58),3.19,3.04
da like neurons 11,153.0,0.424,95.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.287,64.0,62,1,1.61,6.67 (NA-NA),61,98.39,4.00 (3.55-4.44),1.58,4.25
oligodendrocytes 20,221.0,0.213,56.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.064,4.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,279.0,0.204,21.0,78,14,17.95,2.64 (2.29-3.00),64,82.05,4.68 (4.24-5.12),3.12,2.62
oligodendrocyte progenitor cells 12,708.0,0.079,32.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.181,85.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,183.0,0.248,42.0,32,2,6.25,0.87 (NA-NA),30,93.75,5.26 (4.67-5.86),1.73,2.73
astrocytes 15,268.0,0.326,94.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,75.0,0.159,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398.0,0.132,42.0,138,23,16.67,2.65 (2.13-3.17),115,83.33,5.36 (4.99-5.72),3.05,2.67
astrocytes microglia 23,190.0,0.358,93.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24),1.81,1.81
astrocytes 4,255.0,0.192,62.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186.0,0.161,77.0,300,7,2.33,3.36 (2.87-3.85),293,97.67,3.81 (3.60-4.02),5.76,4.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.188,93.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.195,49.0,114,6,5.26,3.48 (2.69-4.28),108,94.74,5.22 (4.80-5.65),3.97,4.42
