tipo_celular,module_size,ZNF451_MM,ZNF451_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.207,48.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,624,0.207,85.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47),1.62,4.32
astrocytes 5,1141,0.151,77.0,166,46,27.71,2.56 (2.20-2.93),120,72.29,3.76 (3.46-4.05),6.27,3.89
oligodendrocyte progenitor cells 7,4285,0.16,86.0,353,65,18.41,2.31 (2.01-2.61),288,81.59,4.34 (4.15-4.52),20.10,5.35
GABA neurons expressing GLU receptors 22,1069,0.301,100.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,685,0.093,24.0,135,26,19.26,2.04 (1.63-2.45),109,80.74,3.53 (3.18-3.88),4.01,3.69
da like neurons 11,77,0.281,49.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,200,0.157,52.0,34,3,8.82,3.58 (3.41-3.75),31,91.18,3.93 (2.92-4.94),1.65,3.67
endothelial cells 9,1653,0.159,73.0,297,12,4.04,4.08 (3.43-4.72),285,95.96,3.66 (3.45-3.87),9.15,5.37
oligodendrocytes 20,250,0.202,60.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052,0.16,68.0,125,4,3.2,3.28 (2.73-3.82),121,96.8,3.35 (3.02-3.68),4.50,8.75
astrocytes 8,262,0.148,55.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708,0.109,48.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.207,71.0,358,74,20.67,2.42 (2.11-2.72),284,79.33,4.37 (4.18-4.56),23.92,5.71
connective tissue cells 21,112,0.226,42.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,1768,0.097,60.0,105,26,24.76,2.08 (1.62-2.53),79,75.24,3.61 (3.22-3.99),5.92,3.34
oligodendrocytes 16,151,0.127,8.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,448,0.1,48.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78),2.73,3.59
astrocytes microglia 23,255,0.271,60.0,57,8,14.04,3.36 (2.74-3.98),49,85.96,2.52 (2.12-2.92),3.00,3.39
astrocytes 4,752,0.165,66.0,96,14,14.58,3.22 (2.62-3.81),82,85.42,3.30 (2.93-3.67),2.86,4.57
oligodendrocytes 0,1186,0.126,23.0,300,15,5.0,3.83 (3.42-4.24),285,95.0,3.79 (3.57-4.01),5.24,4.10
microglia 1,958,0.112,51.0,290,14,4.83,2.89 (2.12-3.67),276,95.17,3.87 (3.63-4.11),5.37,4.98
oligodendrocytes 3,854,0.11,71.0,76,5,6.58,1.82 (0.74-2.91),71,93.42,2.85 (2.51-3.19),3.67,4.79
oligodendrocytes 2,131,0.171,42.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
