tipo_celular,module_size,DNHD1_MM,DNHD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.07,4.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,349.0,0.102,17.0,68,7,10.29,3.93 (3.21-4.65),61,89.71,4.44 (3.81-5.07),2.99,3.35
astrocytes 5,1141.0,0.098,12.0,166,6,3.61,2.15 (1.12-3.18),160,96.39,3.45 (3.19-3.70),3.97,4.57
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,17,4.82,1.66 (1.05-2.27),336,95.18,4.04 (3.86-4.22),27.27,7.09
GABA neurons expressing GLU receptors 22,714.0,0.238,76.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316.0,0.205,94.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,853.0,0.073,8.0,133,7,5.26,0.98 (0.40-1.57),126,94.74,3.40 (3.09-3.72),4.59,4.14
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.029,4.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.153,62.0,125,4,3.2,4.34 (3.93-4.76),121,96.8,3.31 (2.98-3.64),2.44,8.82
astrocytes 8,603.0,0.045,16.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,708.0,0.093,39.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,1277.0,0.126,62.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,106.0,0.335,74.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,1401.0,0.091,55.0,96,9,9.38,3.20 (2.45-3.96),87,90.62,3.67 (3.17-4.16),4.89,3.68
oligodendrocytes 16,151.0,0.207,57.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,47.0,0.286,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.143,34.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078.0,0.123,69.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,1615.0,0.072,4.0,161,9,5.59,0.83 (0.37-1.29),152,94.41,3.45 (3.19-3.71),14.42,4.90
oligodendrocytes 3,854.0,0.108,71.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.117,20.0,200,3,1.5,3.27 (2.49-4.05),197,98.5,3.63 (3.36-3.90),2.65,3.48
