tipo_celular,module_size,CPQ_MM,CPQ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.144,34.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349.0,0.216,61.0,68,1,1.47,0.79 (NA-NA),67,98.53,4.44 (3.89-4.99),2.86,3.32
astrocytes 5,1141.0,0.144,68.0,166,9,5.42,1.46 (0.66-2.26),157,94.58,3.53 (3.28-3.77),5.82,4.48
oligodendrocyte progenitor cells 7,229.0,0.248,73.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.17,55.0,91,10,10.99,1.10 (0.43-1.77),81,89.01,5.14 (4.69-5.59),3.11,3.05
da like neurons 11,197.0,0.271,69.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.209,49.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676.0,0.529,82.0,110,2,1.82,1.99 (-0.37-4.34),108,98.18,5.07 (4.63-5.51),2.82,3.54
GABA like neurons 14,3052.0,0.194,89.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.181,62.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.279,86.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236.0,0.423,32.0,82,2,2.44,2.88 (2.28-3.48),80,97.56,5.06 (4.54-5.59),3.38,3.85
connective tissue cells 21,102.0,0.067,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.105,59.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,287.0,0.484,96.0,105,3,2.86,2.18 (0.77-3.60),102,97.14,5.20 (4.76-5.64),3.30,3.47
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.121,0.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,220.0,0.149,39.0,63,4,6.35,4.24 (1.59-6.89),59,93.65,5.21 (4.64-5.78),3.57,3.27
oligodendrocytes 0,261.0,0.109,12.0,42,1,2.38,0.79 (NA-NA),41,97.62,4.17 (3.48-4.85),2.98,2.26
microglia 1,346.0,0.149,50.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,127.0,0.247,49.0,45,3,6.67,2.18 (0.77-3.60),42,93.33,4.59 (3.71-5.48),2.41,6.17
oligodendrocytes 2,348.0,0.127,13.0,114,5,4.39,4.66 (2.45-6.87),109,95.61,5.14 (4.73-5.56),4.60,4.38
