tipo_celular,module_size,GUCY1A2_MM,GUCY1A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.097,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.096,27.0,219,1,0.46,NA,218,99.54,5.21 (4.92-5.50),2.53,4.62
GABA neurons expressing GLU receptors 22,459.0,0.261,83.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58),3.45,4.11
GLU like neurons 17,795.0,0.154,62.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,408.0,0.117,29.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04),2.09,2.32
GABA neurons expressing GABA receptors 13,266.0,0.289,93.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,586.0,0.348,74.0,62,1,1.61,NA,61,98.39,4.05 (3.60-4.49),2.09,4.24
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.052,3.0,306,12,3.92,1.94 (1.28-2.61),294,96.08,5.27 (5.02-5.52),5.15,6.77
astrocytes 8,218.0,0.034,8.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,153.0,0.557,97.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.129,83.0,105,5,4.76,1.20 (0.34-2.07),100,95.24,3.32 (2.99-3.66),7.30,3.81
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.271,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,201.0,0.32,95.0,18,2,11.11,3.70 (NA-NA),16,88.89,4.59 (3.66-5.53),2.32,3.19
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
