tipo_celular,module_size,UTP23_MM,UTP23_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.052,2.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,932.0,0.137,84.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,21,5.95,1.62 (1.13-2.11),332,94.05,4.07 (3.89-4.25),33.27,6.47
GABA neurons expressing GLU receptors 22,203.0,0.274,55.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.117,37.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,197.0,0.181,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.087,31.0,275,22,8.0,1.62 (1.13-2.11),253,92.0,4.23 (3.97-4.48),15.39,5.06
oligodendrocytes 20,228.0,0.403,95.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,3052.0,0.233,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.066,22.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.03,2.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,1277.0,0.051,12.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.091,53.0,105,11,10.48,1.73 (1.23-2.24),94,89.52,3.38 (3.03-3.73),8.99,3.39
oligodendrocytes 16,158.0,0.291,88.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02),1.51,12.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,37.0,0.368,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,201.0,0.149,30.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,613.0,0.136,44.0,127,1,0.79,2.95 (NA-NA),126,99.21,3.05 (2.63-3.47),7.03,6.27
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.122,72.0,87,12,13.79,1.54 (1.07-2.01),75,86.21,2.77 (2.48-3.05),7.67,3.69
oligodendrocytes 2,921.0,0.168,90.0,200,3,1.5,2.83 (2.06-3.59),197,98.5,3.63 (3.36-3.90),7.98,3.39
