tipo_celular,module_size,HDAC1_MM,HDAC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.215,77.0,12,1,8.33,4.91 (NA-NA),11,91.67,3.16 (1.97-4.34),1.57,5.72
astrocytes 5,932.0,0.1,38.0,80,3,3.75,3.90 (2.97-4.82),77,96.25,3.66 (3.23-4.09),2.71,4.36
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,84,23.8,2.46 (2.19-2.72),269,76.2,4.50 (4.32-4.68),17.45,5.13
GABA neurons expressing GLU receptors 22,599.0,0.465,99.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.065,5.0,297,12,4.04,3.93 (3.18-4.68),285,95.96,3.66 (3.45-3.87),5.78,5.51
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.064,2.0,74,20,27.03,2.61 (2.21-3.01),54,72.97,3.08 (2.58-3.59),3.29,13.17
astrocytes 8,1266.0,0.085,54.0,66,33,50.0,2.47 (1.89-3.05),33,50.0,4.01 (3.55-4.47),3.29,2.61
oligodendrocyte progenitor cells 12,708.0,0.051,17.0,32,13,40.62,1.98 (1.02-2.95),19,59.38,4.19 (3.19-5.20),3.07,2.28
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,126.0,0.385,96.0,7,4,57.14,1.96 (0.72-3.19),3,42.86,0.60 (-0.07-1.26),1.96,1.78
astrocytes 15,268.0,0.056,29.0,10,3,30.0,3.92 (0.95-6.89),7,70.0,3.55 (1.24-5.86),1.44,1.65
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,80.0,0.356,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.144,49.0,104,34,32.69,1.99 (1.62-2.36),70,67.31,3.34 (3.01-3.67),9.75,3.28
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
