tipo_celular,module_size,SASH1_MM,SASH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.327,88.0,98,10,10.2,4.51 (2.93-6.08),88,89.8,4.61 (4.20-5.03),3.17,2.59
oligodendrocyte progenitor cells 7,436.0,0.162,69.0,219,10,4.57,4.08 (3.16-5.00),209,95.43,5.29 (4.99-5.58),5.74,4.56
GABA neurons expressing GLU receptors 22,599.0,0.191,40.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1247.0,0.173,74.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,408.0,0.349,79.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27),2.01,2.36
GABA neurons expressing GABA receptors 13,288.0,0.204,63.0,93,12,12.9,3.35 (2.35-4.36),81,87.1,5.51 (5.00-6.03),3.44,4.02
endothelial cells 9,412.0,0.19,54.0,141,9,6.38,3.18 (1.94-4.42),132,93.62,2.94 (2.70-3.19),3.39,7.05
oligodendrocytes 20,676.0,0.275,51.0,110,21,19.09,3.63 (2.80-4.46),89,80.91,5.37 (4.89-5.86),2.73,3.71
GABA like neurons 14,1300.0,0.307,90.0,306,34,11.11,3.38 (2.84-3.91),272,88.89,5.40 (5.13-5.67),5.55,6.85
astrocytes 8,262.0,0.361,100.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,254.0,0.243,40.0,37,11,29.73,3.13 (2.76-3.51),26,70.27,5.25 (4.57-5.93),2.51,2.45
oligodendrocytes 10,236.0,0.592,77.0,82,26,31.71,4.95 (4.33-5.58),56,68.29,5.02 (4.26-5.78),2.90,4.27
connective tissue cells 21,114.0,0.197,20.0,19,15,78.95,4.79 (3.96-5.62),4,21.05,5.25 (3.72-6.78),1.99,2.60
astrocytes 15,418.0,0.295,71.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,287.0,0.454,91.0,105,27,25.71,4.25 (3.33-5.16),78,74.29,5.46 (4.98-5.93),3.11,3.59
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.32,63.0,46,1,2.17,5.24 (NA-NA),45,97.83,5.03 (4.45-5.60),2.53,3.23
astrocytes 4,255.0,0.192,63.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,261.0,0.216,73.0,42,9,21.43,2.42 (1.16-3.69),33,78.57,4.70 (4.03-5.38),2.44,2.23
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,127.0,0.227,41.0,45,8,17.78,2.96 (1.95-3.97),37,82.22,4.92 (3.88-5.96),2.19,6.73
oligodendrocytes 2,347.0,0.271,78.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
