tipo_celular,module_size,TMBIM1_MM,TMBIM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.318,96.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,393.0,0.161,56.0,59,6,10.17,3.50 (3.01-3.99),53,89.83,3.05 (2.50-3.61),3.05,5.60
astrocytes 5,322.0,0.197,61.0,58,16,27.59,3.26 (2.54-3.99),42,72.41,4.61 (4.16-5.07),2.05,2.42
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.106,16.0,302,13,4.3,3.37 (2.24-4.50),289,95.7,4.01 (3.78-4.24),6.82,10.83
oligodendrocytes 20,358.0,0.159,53.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.085,57.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.143,59.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,92.0,0.37,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.08,8.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,51.0,0.255,66.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.27,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,171.0,0.222,73.0,22,2,9.09,4.26 (0.90-7.63),20,90.91,4.58 (3.59-5.57),1.83,2.03
oligodendrocytes 0,2078.0,0.099,21.0,238,3,1.26,1.84 (0.07-3.60),235,98.74,3.66 (3.44-3.88),6.19,5.01
microglia 1,480.0,0.09,3.0,163,14,8.59,3.35 (2.76-3.95),149,91.41,3.74 (3.45-4.02),4.43,5.24
oligodendrocytes 3,743.0,0.055,12.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,526.0,0.216,35.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
