tipo_celular,module_size,NECAP1_MM,NECAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.078,3.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.119,13.0,251,3,1.2,5.21 (5.21-5.21),248,98.8,4.04 (3.80-4.29),2.48,6.20
GABA neurons expressing GLU receptors 22,848.0,0.081,4.0,262,10,3.82,2.75 (1.77-3.74),252,96.18,4.24 (3.99-4.49),6.85,3.99
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.177,49.0,410,15,3.66,2.68 (2.07-3.29),395,96.34,4.33 (4.14-4.52),11.08,7.38
GABA neurons expressing GABA receptors 13,93.0,0.125,20.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.267,59.0,455,23,5.05,2.79 (2.01-3.56),432,94.95,4.46 (4.27-4.64),23.08,8.08
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,138.0,0.035,4.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.103,33.0,95,2,2.11,3.91 (3.91-3.91),93,97.89,4.87 (4.43-5.32),2.46,3.38
astrocytes microglia 23,78.0,0.398,89.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
