tipo_celular,module_size,SYTL2_MM,SYTL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.152,48.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,14,3.97,1.30 (0.64-1.97),339,96.03,4.02 (3.84-4.20),31.90,7.08
GABA neurons expressing GLU receptors 22,1069.0,0.209,79.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,637.0,0.138,41.0,91,9,9.89,0.90 (0.30-1.51),82,90.11,5.10 (4.65-5.55),3.44,3.02
da like neurons 11,168.0,0.089,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.045,6.0,12,1,8.33,5.75 (NA-NA),11,91.67,2.05 (0.47-3.62),2.10,4.43
GABA like neurons 14,3052.0,0.225,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.066,23.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.038,4.0,261,11,4.21,2.77 (1.93-3.62),250,95.79,4.44 (4.20-4.69),7.86,5.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,71.0,0.147,23.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,307.0,0.074,9.0,95,6,6.32,5.09 (4.75-5.43),89,93.68,4.83 (4.36-5.30),3.60,3.35
astrocytes microglia 23,161.0,0.407,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.123,26.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.127,47.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.213,58.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
