tipo_celular,module_size,ADCK1_MM,ADCK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.089,8.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.662,100.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090.0,0.092,10.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.08,17.0,358,17,4.75,1.22 (0.82-1.62),341,95.25,4.04 (3.86-4.22),23.56,8.77
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.232,70.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,42.0,0.332,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.082,4.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,1615.0,0.083,13.0,161,10,6.21,1.11 (0.39-1.83),151,93.79,3.45 (3.19-3.71),14.13,4.86
oligodendrocytes 3,187.0,0.086,37.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.138,41.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
