tipo_celular,module_size,TENM2_MM,TENM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.326,94.0,28,8,28.57,5.36 (4.46-6.26),20,71.43,5.28 (4.52-6.05),2.31,2.46
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.344,93.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,795.0,0.135,53.0,80,5,6.25,3.14 (1.94-4.35),75,93.75,5.82 (5.42-6.22),4.84,2.89
da like neurons 11,108.0,0.205,44.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,288.0,0.106,14.0,93,36,38.71,4.31 (3.67-4.95),57,61.29,5.83 (5.17-6.50),4.88,3.36
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.193,44.0,306,55,17.97,4.07 (3.51-4.63),251,82.03,5.39 (5.10-5.67),14.06,5.10
astrocytes 8,279.0,0.346,86.0,78,13,16.67,3.33 (2.31-4.35),65,83.33,4.51 (4.07-4.95),3.60,2.53
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.388,74.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.136,75.0,122,20,16.39,3.03 (1.91-4.15),102,83.61,4.22 (3.82-4.61),4.03,3.38
astrocytes microglia 23,141.0,0.576,100.0,30,16,53.33,4.88 (3.85-5.91),14,46.67,6.60 (5.26-7.95),3.71,4.42
astrocytes 4,161.0,0.294,88.0,45,2,4.44,NA,43,95.56,5.28 (4.66-5.91),2.77,3.12
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
