tipo_celular,module_size,LYSMD2_MM,LYSMD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.091,4.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.167,45.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45),11.45,7.51
GABA neurons expressing GABA receptors 13,417.0,0.127,25.0,213,2,0.94,1.25 (-0.12-2.62),211,99.06,3.78 (3.53-4.03),4.94,9.73
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.33,71.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54),23.10,8.80
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.059,24.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.094,24.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,140.0,0.35,77.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
