tipo_celular,module_size,LMTK3_MM,LMTK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.147,90.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,9,2.55,3.03 (2.22-3.85),344,97.45,3.92 (3.73-4.11),10.32,8.01
GABA neurons expressing GLU receptors 22,823.0,0.186,55.0,23,3,13.04,3.92 (3.20-4.64),20,86.96,2.09 (1.32-2.86),2.00,3.64
GLU like neurons 17,1247.0,0.164,69.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,853.0,0.21,85.0,133,5,3.76,3.92 (3.51-4.33),128,96.24,3.22 (2.90-3.55),3.07,4.20
GABA neurons expressing GABA receptors 13,357.0,0.103,17.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,271.0,0.033,2.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300.0,0.273,79.0,306,7,2.29,3.46 (2.80-4.12),299,97.71,5.15 (4.88-5.42),6.44,6.71
astrocytes 8,260.0,0.073,19.0,4,1,25.0,1.95 (NA-NA),3,75.0,2.02 (-1.43-5.47),1.75,2.20
oligodendrocyte progenitor cells 12,3303.0,0.114,85.0,276,8,2.9,3.08 (2.16-4.00),268,97.1,3.56 (3.34-3.78),9.42,4.98
oligodendrocytes 10,806.0,0.102,28.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,103.0,0.412,98.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1401.0,0.101,64.0,96,2,2.08,4.07 (4.07-4.07),94,97.92,3.60 (3.14-4.06),1.73,3.84
oligodendrocytes 16,75.0,0.231,79.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,518.0,0.136,75.0,122,2,1.64,2.24 (1.67-2.80),120,98.36,4.03 (3.63-4.42),1.86,3.51
astrocytes microglia 23,157.0,0.259,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.181,93.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36),1.34,6.10
oligodendrocytes 0,117.0,0.06,0.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.084,39.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89),2.94,4.27
oligodendrocytes 2,407.0,0.168,63.0,122,2,1.64,1.25 (-0.12-2.62),120,98.36,3.38 (2.99-3.76),1.90,2.71
