tipo_celular,module_size,PTPRJ_MM,PTPRJ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.153,43.0,32,3,9.38,3.95 (2.24-5.67),29,90.62,3.69 (2.84-4.55),2.67,3.71
T cells 18,393.0,0.167,59.0,59,3,5.08,3.09 (2.52-3.67),56,94.92,3.11 (2.58-3.63),2.55,5.49
astrocytes 5,165.0,0.096,4.0,51,5,9.8,5.38 (4.42-6.34),46,90.2,5.35 (4.62-6.07),2.02,3.05
oligodendrocyte progenitor cells 7,666.0,0.021,0.0,127,51,40.16,3.83 (3.31-4.35),76,59.84,3.83 (3.39-4.28),3.36,7.50
GABA neurons expressing GLU receptors 22,703.0,0.172,43.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,685.0,0.214,80.0,135,48,35.56,2.68 (2.24-3.12),87,64.44,3.45 (3.06-3.85),3.98,3.62
da like neurons 11,191.0,0.142,25.0,93,12,12.9,4.27 (3.19-5.35),81,87.1,5.94 (5.54-6.33),4.43,4.09
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.213,52.0,74,2,2.7,3.47 (0.09-6.84),72,97.3,5.55 (5.00-6.10),3.78,3.63
oligodendrocytes 20,676.0,0.491,78.0,110,30,27.27,4.37 (3.60-5.15),80,72.73,5.34 (4.81-5.87),3.19,3.65
GABA like neurons 14,1300.0,0.336,95.0,306,57,18.63,3.58 (3.13-4.04),249,81.37,5.63 (5.36-5.90),5.57,6.97
astrocytes 8,771.0,0.188,65.0,48,3,6.25,4.44 (0.86-8.02),45,93.75,4.43 (3.65-5.21),1.65,3.24
oligodendrocyte progenitor cells 12,708.0,0.115,54.0,32,13,40.62,1.68 (0.91-2.45),19,59.38,4.42 (3.47-5.37),3.30,2.12
oligodendrocytes 10,130.0,0.36,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,111.0,0.394,92.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,1768.0,0.143,89.0,105,19,18.1,1.74 (1.37-2.12),86,81.9,3.57 (3.21-3.94),4.74,3.81
oligodendrocytes 16,153.0,0.343,44.0,14,1,7.14,6.20 (NA-NA),13,92.86,4.54 (3.80-5.29),1.88,2.97
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.203,18.0,99,27,27.27,4.87 (4.34-5.40),72,72.73,4.06 (3.65-4.47),3.51,3.14
astrocytes 4,201.0,0.234,83.0,18,9,50.0,3.25 (2.78-3.73),9,50.0,5.82 (4.67-6.97),2.70,3.49
oligodendrocytes 0,187.0,0.106,12.0,14,2,14.29,7.18 (NA-NA),12,85.71,5.39 (4.79-5.98),1.94,2.58
microglia 1,315.0,0.161,45.0,144,23,15.97,4.20 (3.67-4.74),121,84.03,4.51 (4.16-4.87),3.37,4.36
oligodendrocytes 3,44.0,0.286,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,348.0,0.255,70.0,114,22,19.3,4.14 (3.63-4.65),92,80.7,5.46 (4.96-5.95),4.66,4.33
