tipo_celular,module_size,CHI3L1_MM,CHI3L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.335,96.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.558,100.0,58,27,46.55,3.91 (3.32-4.49),31,53.45,4.48 (3.87-5.09),1.99,2.61
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.517,99.0,135,41,30.37,2.48 (2.12-2.85),94,69.63,3.52 (3.12-3.91),4.06,3.61
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.308,98.0,89,7,7.87,1.42 (0.88-1.96),82,92.13,2.92 (2.55-3.29),5.97,6.05
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.327,100.0,105,18,17.14,1.91 (1.43-2.39),87,82.86,3.51 (3.14-3.88),7.31,3.29
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,91.0,0.532,100.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171.0,0.369,98.0,22,4,18.18,4.95 (2.58-7.32),18,81.82,4.45 (3.42-5.49),1.97,2.03
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.169,63.0,43,1,2.33,6.89 (NA-NA),42,97.67,3.68 (3.19-4.17),1.62,4.55
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
