tipo_celular,module_size,ING5_MM,ING5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.08,5.0,142,3,2.11,2.99 (2.79-3.18),139,97.89,3.21 (2.94-3.49),2.24,4.34
astrocytes 5,1656.0,0.107,36.0,136,5,3.68,1.66 (1.34-1.98),131,96.32,3.28 (3.00-3.55),7.45,4.89
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,59,16.71,2.10 (1.81-2.38),294,83.29,4.37 (4.19-4.54),21.31,5.41
GABA neurons expressing GLU receptors 22,203.0,0.393,90.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,300.0,0.172,35.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,853.0,0.074,8.0,133,43,32.33,1.95 (1.62-2.28),90,67.67,3.94 (3.59-4.30),5.99,3.29
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.061,19.0,169,7,4.14,2.14 (0.81-3.48),162,95.86,3.55 (3.34-3.77),4.47,5.40
GABA like neurons 14,2090.0,0.195,77.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55),3.37,11.74
astrocytes 8,1266.0,0.045,10.0,66,20,30.3,1.88 (1.37-2.40),46,69.7,3.95 (3.52-4.38),3.90,2.54
oligodendrocyte progenitor cells 12,708.0,0.055,18.0,32,9,28.12,1.21 (0.56-1.85),23,71.88,4.21 (3.35-5.07),3.58,2.21
oligodendrocytes 10,2107.0,0.07,13.0,358,68,18.99,2.11 (1.83-2.39),290,81.01,4.44 (4.27-4.62),23.66,6.15
connective tissue cells 21,100.0,0.339,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.028,7.0,54,2,3.7,3.44 (3.37-3.51),52,96.3,3.69 (3.24-4.15),1.59,3.07
oligodendrocytes 16,105.0,0.208,43.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.292,32.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,1807.0,0.173,93.0,104,28,26.92,1.80 (1.47-2.14),76,73.08,3.30 (2.98-3.62),10.80,3.41
oligodendrocytes 0,2078.0,0.108,38.0,238,15,6.3,2.72 (2.09-3.34),223,93.7,3.70 (3.48-3.93),7.39,4.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.078,36.0,127,3,2.36,4.89 (4.35-5.43),124,97.64,3.08 (2.75-3.42),7.27,4.16
oligodendrocytes 2,1630.0,0.147,61.0,154,2,1.3,3.75 (2.98-4.51),152,98.7,3.24 (2.97-3.51),2.40,3.61
