tipo_celular,module_size,CTSL_MM,CTSL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.258,68.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.156,44.0,164,16,9.76,4.44 (3.57-5.30),148,90.24,4.04 (3.69-4.39),3.89,7.92
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.149,37.0,410,38,9.27,3.71 (3.24-4.17),372,90.73,4.31 (4.11-4.51),11.77,7.08
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.117,20.0,302,15,4.97,3.76 (2.65-4.87),287,95.03,3.99 (3.76-4.23),5.25,10.94
oligodendrocytes 20,938.0,0.034,6.0,169,26,15.38,3.10 (2.50-3.69),143,84.62,3.55 (3.31-3.78),6.71,5.12
GABA like neurons 14,2402.0,0.297,65.0,455,46,10.11,2.78 (2.25-3.31),409,89.89,4.56 (4.37-4.75),18.48,7.75
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.122,65.0,235,16,6.81,3.61 (3.00-4.22),219,93.19,3.84 (3.59-4.08),8.17,7.57
oligodendrocytes 10,483.0,0.125,52.0,129,3,2.33,4.46 (3.75-5.17),126,97.67,3.40 (3.00-3.80),6.71,19.49
connective tissue cells 21,301.0,0.395,56.0,158,32,20.25,4.49 (3.84-5.14),126,79.75,4.17 (3.73-4.61),5.08,7.57
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,155.0,0.206,42.0,8,3,37.5,2.71 (-1.67-7.09),5,62.5,2.72 (-2.11-7.56),1.65,1.65
da neurons 6,518.0,0.109,49.0,122,29,23.77,2.37 (1.86-2.89),93,76.23,4.58 (4.16-5.01),3.91,3.35
astrocytes microglia 23,101.0,0.328,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.154,41.0,252,42,16.67,2.56 (2.04-3.07),210,83.33,4.44 (4.19-4.69),11.77,7.50
microglia 1,406.0,0.24,60.0,278,18,6.47,4.68 (3.98-5.39),260,93.53,4.34 (4.06-4.63),3.64,6.95
oligodendrocytes 3,743.0,0.135,90.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.226,63.0,175,32,18.29,3.89 (3.35-4.43),143,81.71,4.52 (4.10-4.94),8.39,3.78
