tipo_celular,module_size,PPARA_MM,PPARA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.147,42.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,349.0,0.134,30.0,68,6,8.82,1.47 (0.97-1.98),62,91.18,4.75 (4.21-5.28),3.20,3.32
astrocytes 5,932.0,0.16,94.0,80,16,20.0,5.56 (4.50-6.61),64,80.0,3.38 (2.98-3.78),1.69,4.96
oligodendrocyte progenitor cells 7,666.0,0.119,16.0,127,28,22.05,3.06 (2.56-3.57),99,77.95,4.16 (3.76-4.57),3.62,6.46
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.167,71.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.12,27.0,62,4,6.45,3.84 (1.96-5.72),58,93.55,4.06 (3.60-4.53),2.21,4.35
oligodendrocytes 20,330.0,0.16,46.0,36,16,44.44,2.06 (1.76-2.36),20,55.56,1.79 (1.19-2.40),2.52,3.62
GABA like neurons 14,2090.0,0.172,62.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,1266.0,0.2,95.0,66,22,33.33,2.26 (1.59-2.94),44,66.67,3.83 (3.40-4.27),3.45,2.70
oligodendrocyte progenitor cells 12,3303.0,0.093,68.0,276,57,20.65,2.44 (2.09-2.80),219,79.35,3.94 (3.70-4.18),8.49,4.23
oligodendrocytes 10,2107.0,0.116,37.0,358,83,23.18,2.45 (2.16-2.75),275,76.82,4.45 (4.26-4.64),20.47,6.15
connective tissue cells 21,82.0,0.324,80.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1401.0,0.105,67.0,96,8,8.33,2.07 (1.53-2.62),88,91.67,3.76 (3.29-4.24),3.36,3.84
oligodendrocytes 16,65.0,0.178,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.26,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,251.0,0.147,37.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,2078.0,0.12,63.0,238,20,8.4,3.02 (2.43-3.60),218,91.6,3.70 (3.47-3.94),4.89,5.03
microglia 1,1615.0,0.096,30.0,161,60,37.27,2.22 (1.94-2.50),101,62.73,4.10 (3.78-4.42),8.27,3.74
oligodendrocytes 3,639.0,0.071,27.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,407.0,0.152,49.0,122,94,77.05,3.00 (2.58-3.42),28,22.95,4.77 (4.09-5.45),2.83,2.26
