tipo_celular,module_size,PSMD13_MM,PSMD13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.235,87.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656.0,0.108,38.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,4285.0,0.124,33.0,353,32,9.07,2.23 (1.75-2.71),321,90.93,4.11 (3.93-4.30),33.16,5.56
GABA neurons expressing GLU receptors 22,848.0,0.192,43.0,262,27,10.31,3.08 (2.55-3.61),235,89.69,4.29 (4.02-4.55),5.92,3.90
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.133,30.0,410,32,7.8,3.29 (2.93-3.65),378,92.2,4.33 (4.13-4.53),10.20,7.29
GABA neurons expressing GABA receptors 13,73.0,0.22,85.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,916.0,0.109,17.0,302,19,6.29,2.94 (2.12-3.77),283,93.71,4.03 (3.80-4.26),8.06,10.83
oligodendrocytes 20,938.0,0.12,47.0,169,22,13.02,3.20 (2.70-3.69),147,86.98,3.52 (3.28-3.76),5.14,5.40
GABA like neurons 14,2402.0,0.239,53.0,455,47,10.33,2.53 (2.10-2.96),408,89.67,4.58 (4.39-4.77),17.36,7.85
astrocytes 8,520.0,0.083,32.0,288,31,10.76,3.16 (2.73-3.59),257,89.24,4.28 (4.07-4.49),6.70,4.44
oligodendrocyte progenitor cells 12,1049.0,0.033,4.0,235,15,6.38,3.32 (2.73-3.90),220,93.62,3.85 (3.61-4.09),4.41,7.83
oligodendrocytes 10,735.0,0.145,74.0,277,10,3.61,4.03 (3.69-4.37),267,96.39,3.89 (3.65-4.14),4.65,9.11
connective tissue cells 21,301.0,0.259,18.0,158,13,8.23,2.55 (1.84-3.25),145,91.77,4.37 (3.99-4.75),13.91,6.45
astrocytes 15,1768.0,0.096,59.0,105,22,20.95,2.56 (2.03-3.10),83,79.05,3.40 (3.01-3.80),8.22,2.85
oligodendrocytes 16,91.0,0.218,62.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,409.0,0.164,67.0,235,20,8.51,2.64 (1.91-3.36),215,91.49,4.07 (3.81-4.33),8.22,4.06
astrocytes microglia 23,157.0,0.363,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.127,20.0,104,20,19.23,2.17 (1.64-2.70),84,80.77,3.04 (2.73-3.36),13.50,3.47
oligodendrocytes 0,2078.0,0.106,33.0,238,4,1.68,2.04 (-1.56-5.63),234,98.32,3.65 (3.43-3.87),6.40,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.064,23.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.14,46.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
