tipo_celular,module_size,KCNIP1_MM,KCNIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.761,100.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84),NA,3.54
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.19,69.0,28,1,3.57,2.43 (NA-NA),27,96.43,5.43 (4.87-5.98),1.95,2.43
oligodendrocyte progenitor cells 7,436.0,0.096,27.0,219,19,8.68,4.44 (4.15-4.72),200,91.32,5.31 (4.99-5.62),3.58,4.71
GABA neurons expressing GLU receptors 22,823.0,0.23,79.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380.0,0.141,28.0,39,1,2.56,2.06 (NA-NA),38,97.44,2.99 (2.43-3.56),2.22,2.58
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.271,78.0,306,30,9.8,3.15 (2.63-3.67),276,90.2,5.41 (5.14-5.68),4.07,6.99
astrocytes 8,727.0,0.113,54.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,411.0,0.34,79.0,103,9,8.74,5.24 (4.50-5.99),94,91.26,5.57 (5.16-5.99),2.74,3.12
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.492,98.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61),NA,2.12
astrocytes 15,338.0,0.103,14.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.414,83.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,251.0,0.198,74.0,34,2,5.88,4.98 (2.80-7.15),32,94.12,5.27 (4.62-5.93),1.58,3.16
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,315.0,0.424,99.0,144,1,0.69,2.68 (NA-NA),143,99.31,4.47 (4.17-4.78),2.41,4.22
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
