tipo_celular,module_size,HYDIN_MM,HYDIN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.361,99.0,32,10,31.25,5.63 (4.79-6.47),22,68.75,4.57 (4.09-5.04),3.98,3.71
oligodendrocyte progenitor cells 7,436.0,0.128,50.0,219,4,1.83,4.23 (4.11-4.34),215,98.17,5.24 (4.95-5.53),8.55,4.54
GABA neurons expressing GLU receptors 22,599.0,0.321,89.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1247.0,0.101,26.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,142.0,0.327,78.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.353,89.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300.0,0.318,92.0,306,9,2.94,3.27 (2.22-4.32),297,97.06,5.18 (4.91-5.44),14.33,6.48
astrocytes 8,1266.0,0.131,82.0,66,14,21.21,2.03 (1.19-2.87),52,78.79,3.62 (3.19-4.04),3.50,2.81
oligodendrocyte progenitor cells 12,138.0,0.423,29.0,5,2,40.0,4.33 (4.33-4.33),3,60.0,NA,1.43,2.85
oligodendrocytes 10,1277.0,0.149,72.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.119,76.0,96,9,9.38,3.24 (2.46-4.02),87,90.62,3.66 (3.16-4.16),5.26,3.65
oligodendrocytes 16,199.0,0.217,79.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.274,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.185,91.0,96,6,6.25,3.46 (2.24-4.69),90,93.75,3.28 (2.93-3.62),2.34,4.45
oligodendrocytes 0,309.0,0.168,76.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.209,79.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.258,73.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
