tipo_celular,module_size,MAP9_MM,MAP9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.135,27.0,266,24,9.02,3.16 (2.32-3.99),242,90.98,4.21 (4.00-4.42),4.76,5.00
oligodendrocyte progenitor cells 7,296.0,0.158,35.0,251,10,3.98,4.85 (4.40-5.30),241,96.02,4.03 (3.78-4.27),4.23,6.23
GABA neurons expressing GLU receptors 22,1069.0,0.132,25.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.147,70.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41),2.03,3.07
da like neurons 11,1220.0,0.166,45.0,410,9,2.2,3.63 (2.05-5.21),401,97.8,4.26 (4.07-4.45),4.76,7.58
GABA neurons expressing GABA receptors 13,266.0,0.409,98.0,118,6,5.08,5.28 (4.78-5.78),112,94.92,4.71 (4.34-5.08),3.60,4.01
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.09,34.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.391,79.0,455,12,2.64,2.23 (1.09-3.36),443,97.36,4.41 (4.23-4.60),23.52,8.44
astrocytes 8,520.0,0.218,73.0,288,15,5.21,3.97 (3.01-4.94),273,94.79,4.18 (3.98-4.39),3.41,4.76
oligodendrocyte progenitor cells 12,3303.0,0.094,69.0,276,11,3.99,2.31 (1.52-3.11),265,96.01,3.61 (3.39-3.83),4.46,5.14
oligodendrocytes 10,806.0,0.269,74.0,261,20,7.66,4.79 (4.30-5.28),241,92.34,4.33 (4.07-4.59),5.67,6.10
connective tissue cells 21,145.0,0.488,100.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,261.0,0.297,95.0,8,3,37.5,0.32 (0.20-0.45),5,62.5,5.02 (3.40-6.64),2.14,1.65
oligodendrocytes 16,121.0,0.189,33.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,448.0,0.109,59.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,127.0,0.345,70.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,1807.0,0.159,76.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,309.0,0.12,33.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.109,46.0,345,18,5.22,3.91 (3.20-4.63),327,94.78,4.29 (4.08-4.51),3.73,5.80
oligodendrocytes 2,1630.0,0.132,30.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
