tipo_celular,module_size,FAM98A_MM,FAM98A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.174,48.0,410,10,2.44,2.26 (1.59-2.93),400,97.56,4.32 (4.13-4.50),11.82,7.41
GABA neurons expressing GABA receptors 13,75.0,0.191,73.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.06,18.0,169,6,3.55,1.44 (0.66-2.21),163,96.45,3.57 (3.36-3.79),5.01,5.38
GABA like neurons 14,2402.0,0.171,31.0,455,26,5.71,1.72 (1.21-2.23),429,94.29,4.57 (4.39-4.74),22.56,8.00
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.168,81.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.31,97.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,228.0,0.081,27.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.133,86.0,238,15,6.3,2.69 (2.12-3.25),223,93.7,3.71 (3.48-3.94),7.71,4.84
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.071,35.0,76,1,1.32,5.75 (NA-NA),75,98.68,3.12 (2.73-3.51),2.93,7.35
oligodendrocytes 2,1630.0,0.159,84.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52),1.67,3.62
