tipo_celular,module_size,OXR1_MM,OXR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.383,84.0,140,1,0.71,1.62 (NA-NA),139,99.29,4.58 (4.30-4.86),4.06,3.54
T cells 18,477,0.151,43.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.121,34.0,166,3,1.81,0.76 (0.35-1.17),163,98.19,3.45 (3.20-3.70),10.47,4.44
oligodendrocyte progenitor cells 7,448,0.091,14.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,823,0.146,29.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,795,0.257,88.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,408,0.161,48.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34),2.19,2.28
GABA neurons expressing GABA receptors 13,357,0.311,90.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,658,0.124,20.0,120,1,0.83,1.62 (NA-NA),119,99.17,4.64 (4.32-4.95),4.15,3.65
oligodendrocytes 20,228,0.157,33.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,1300,0.089,8.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37),2.69,6.72
astrocytes 8,727,0.116,56.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,143,0.439,55.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.224,76.0,358,8,2.23,0.72 (0.33-1.11),350,97.77,3.96 (3.77-4.14),49.05,8.57
connective tissue cells 21,91,0.268,34.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,377,0.151,49.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,121,0.192,34.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,448,0.265,99.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,229,0.395,79.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,787,0.149,46.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,309,0.095,11.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,315,0.321,93.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79),4.15,4.21
oligodendrocytes 3,457,0.074,24.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48),NA,5.69
oligodendrocytes 2,804,0.081,1.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02),NA,3.40
