tipo_celular,module_size,TMTC3_MM,TMTC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.093,9.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.15,94.0,136,5,3.68,2.39 (1.38-3.40),131,96.32,3.24 (2.97-3.52),5.64,4.96
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,35,9.92,2.25 (1.76-2.74),318,90.08,4.13 (3.95-4.31),23.00,6.42
GABA neurons expressing GLU receptors 22,714.0,0.108,9.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,1316.0,0.16,78.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41),3.98,3.03
da like neurons 11,265.0,0.164,39.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.129,51.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,275.0,0.032,4.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.189,87.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,260.0,0.083,23.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,30,10.87,2.41 (2.01-2.82),246,89.13,3.73 (3.49-3.96),8.98,4.64
oligodendrocytes 10,806.0,0.042,6.0,261,2,0.77,2.99 (1.51-4.47),259,99.23,4.38 (4.14-4.62),6.80,6.06
connective tissue cells 21,90.0,0.283,43.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29),NA,1.41
astrocytes 15,377.0,0.206,82.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,199.0,0.154,38.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,518.0,0.104,43.0,122,17,13.93,2.52 (1.75-3.29),105,86.07,4.32 (3.90-4.73),4.07,3.39
astrocytes microglia 23,135.0,0.285,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.151,62.0,104,21,20.19,2.20 (1.68-2.72),83,79.81,3.05 (2.73-3.36),8.28,4.67
oligodendrocytes 0,2078.0,0.141,94.0,238,10,4.2,2.97 (2.17-3.76),228,95.8,3.67 (3.44-3.90),6.10,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.069,19.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,1630.0,0.146,59.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
