tipo_celular,module_size,EXT2_MM,EXT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.196,40.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,610.0,0.15,50.0,98,17,17.35,1.32 (0.78-1.86),81,82.65,3.55 (3.26-3.84),6.77,3.46
astrocytes 5,1141.0,0.112,24.0,166,9,5.42,1.38 (0.67-2.10),157,94.58,3.53 (3.28-3.78),5.67,4.49
oligodendrocyte progenitor cells 7,4285.0,0.136,52.0,353,27,7.65,1.73 (1.25-2.20),326,92.35,4.13 (3.95-4.30),28.51,6.37
GABA neurons expressing GLU receptors 22,1069.0,0.246,92.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.098,6.0,39,4,10.26,2.56 (1.60-3.51),35,89.74,3.02 (2.41-3.63),2.20,2.61
da like neurons 11,102.0,0.089,8.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.111,37.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,295.0,0.262,78.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052.0,0.158,65.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68),6.95,8.64
astrocytes 8,1266.0,0.038,5.0,66,7,10.61,0.81 (0.18-1.45),59,89.39,3.56 (3.18-3.95),3.97,2.83
oligodendrocyte progenitor cells 12,3303.0,0.098,72.0,276,15,5.43,1.82 (1.32-2.32),261,94.57,3.67 (3.45-3.89),12.55,4.68
oligodendrocytes 10,2107.0,0.189,66.0,358,22,6.15,1.44 (0.97-1.90),336,93.85,4.08 (3.90-4.26),30.18,8.12
connective tissue cells 21,85.0,0.328,60.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,377.0,0.199,79.0,14,4,28.57,0.80 (0.19-1.40),10,71.43,3.03 (1.31-4.75),2.78,2.32
oligodendrocytes 16,155.0,0.353,95.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,80.0,0.225,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.152,50.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.121,64.0,238,5,2.1,2.38 (1.28-3.48),233,97.9,3.67 (3.45-3.89),9.44,4.93
microglia 1,1615.0,0.097,30.0,161,21,13.04,1.41 (0.92-1.90),140,86.96,3.62 (3.37-3.88),11.69,4.49
oligodendrocytes 3,854.0,0.08,38.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.104,8.0,200,5,2.5,2.09 (1.48-2.70),195,97.5,3.67 (3.40-3.94),5.47,3.41
