tipo_celular,module_size,UBE3B_MM,UBE3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.212,60.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,727.0,0.11,25.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,932.0,0.11,51.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.142,60.0,353,29,8.22,3.08 (2.54-3.63),324,91.78,3.96 (3.77-4.16),14.85,7.46
GABA neurons expressing GLU receptors 22,1069.0,0.19,69.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,265.0,0.132,26.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.07,6.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,348.0,0.232,80.0,33,4,12.12,3.01 (2.78-3.24),29,87.88,2.69 (2.13-3.25),4.04,3.29
GABA like neurons 14,2090.0,0.15,47.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,260.0,0.122,49.0,4,0,0.0,NA,4,100.0,1.99 (0.00-3.99),NA,2.09
oligodendrocyte progenitor cells 12,254.0,0.026,2.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08),NA,2.47
oligodendrocytes 10,2107.0,0.083,19.0,358,29,8.1,3.08 (2.54-3.63),329,91.9,3.93 (3.73-4.14),18.02,8.72
connective tissue cells 21,104.0,0.302,60.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1401.0,0.098,62.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,64.0,0.169,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,107.0,0.278,26.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,721.0,0.16,67.0,61,3,4.92,3.87 (3.87-3.87),58,95.08,2.92 (2.49-3.35),4.16,6.12
oligodendrocytes 0,2078.0,0.128,79.0,238,16,6.72,3.37 (2.60-4.14),222,93.28,3.65 (3.42-3.88),5.96,4.96
microglia 1,1615.0,0.082,11.0,161,25,15.53,3.05 (2.40-3.69),136,84.47,3.31 (3.02-3.61),5.69,5.39
oligodendrocytes 3,854.0,0.058,13.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14),3.40,4.79
oligodendrocytes 2,921.0,0.132,41.0,200,2,1.0,2.73 (1.22-4.24),198,99.0,3.63 (3.36-3.90),5.94,3.44
