tipo_celular,module_size,LRRC8B_MM,LRRC8B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.255,76.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,477.0,0.163,51.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.294,91.0,127,9,7.09,1.80 (1.34-2.26),118,92.91,4.07 (3.73-4.41),4.44,5.94
GABA neurons expressing GLU receptors 22,1069.0,0.183,63.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,637.0,0.201,64.0,91,4,4.4,0.84 (0.05-1.64),87,95.6,4.77 (4.27-5.27),4.19,3.01
da like neurons 11,200.0,0.199,55.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.194,58.0,141,4,2.84,1.19 (0.61-1.78),137,97.16,3.02 (2.78-3.26),5.68,6.85
oligodendrocytes 20,403.0,0.137,56.0,18,2,11.11,0.87 (0.71-1.03),16,88.89,2.00 (1.26-2.75),3.92,3.78
GABA like neurons 14,3052.0,0.063,4.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.07,25.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.161,55.0,358,9,2.51,0.82 (0.49-1.16),349,97.49,3.97 (3.78-4.15),19.95,9.20
connective tissue cells 21,152.0,0.42,91.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,82.0,0.167,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.253,18.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA),NA,2.04
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.234,89.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,958.0,0.125,69.0,290,5,1.72,1.35 (0.80-1.90),285,98.28,3.87 (3.64-4.10),4.82,5.00
oligodendrocytes 3,639.0,0.191,91.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23),3.88,1.96
oligodendrocytes 2,804.0,0.217,97.0,84,3,3.57,0.65 (0.20-1.09),81,96.43,2.78 (2.45-3.12),2.95,3.41
