tipo_celular,module_size,UQCR10_MM,UQCR10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.315,91.0,21,7,33.33,0.85 (0.30-1.41),14,66.67,3.08 (2.51-3.65),2.45,1.78
T cells 18,506.0,0.178,48.0,225,20,8.89,3.25 (2.58-3.93),205,91.11,3.65 (3.39-3.92),3.69,8.31
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.231,78.0,164,21,12.8,3.69 (3.16-4.22),143,87.2,4.16 (3.78-4.53),5.20,7.87
GABA neurons expressing GLU receptors 22,487.0,0.358,86.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.378,91.0,410,34,8.29,3.33 (2.86-3.79),376,91.71,4.35 (4.15-4.55),18.75,6.50
GABA neurons expressing GABA receptors 13,417.0,0.34,99.0,213,41,19.25,2.72 (2.22-3.23),172,80.75,4.08 (3.83-4.34),18.68,7.54
endothelial cells 9,916.0,0.402,85.0,302,29,9.6,3.39 (2.84-3.94),273,90.4,4.06 (3.82-4.30),22.58,9.39
oligodendrocytes 20,938.0,0.225,86.0,169,24,14.2,3.25 (2.62-3.87),145,85.8,3.52 (3.29-3.76),4.98,5.43
GABA like neurons 14,2402.0,0.663,98.0,455,34,7.47,2.85 (2.25-3.45),421,92.53,4.50 (4.32-4.69),26.26,7.43
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.204,85.0,235,22,9.36,3.68 (3.18-4.18),213,90.64,3.84 (3.59-4.09),9.31,7.44
oligodendrocytes 10,735.0,0.245,95.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13),2.19,8.97
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.254,81.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,729.0,0.334,98.0,182,8,4.4,3.86 (2.95-4.76),174,95.6,3.62 (3.36-3.89),7.68,8.56
astrocytes microglia 23,116.0,0.371,84.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.203,66.0,252,34,13.49,2.68 (2.11-3.25),218,86.51,4.38 (4.12-4.63),10.84,7.80
microglia 1,406.0,0.248,61.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,303.0,0.198,69.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.302,61.0,213,22,10.33,3.75 (3.29-4.20),191,89.67,4.01 (3.71-4.32),12.69,7.39
