tipo_celular,module_size,GTF2IRD2B_MM,GTF2IRD2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.135,82.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,8,2.27,0.72 (0.33-1.11),345,97.73,3.98 (3.80-4.16),50.91,7.07
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.062,20.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72),3.86,5.37
GABA like neurons 14,2090.0,0.079,5.0,74,1,1.35,3.56 (NA-NA),73,98.65,2.93 (2.55-3.31),4.08,10.59
astrocytes 8,283.0,0.124,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.055,20.0,276,3,1.09,1.22 (0.43-2.02),273,98.91,3.57 (3.36-3.79),16.57,4.98
oligodendrocytes 10,1277.0,0.104,48.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,100.0,0.216,26.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,1401.0,0.118,76.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,84.0,0.18,51.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.298,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.121,13.0,104,4,3.85,1.05 (0.40-1.71),100,96.15,2.94 (2.66-3.22),14.87,5.02
oligodendrocytes 0,2078.0,0.099,21.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.069,29.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,407.0,0.144,38.0,122,9,7.38,1.04 (0.33-1.74),113,92.62,3.57 (3.18-3.96),4.05,2.59
