tipo_celular,module_size,SEZ6L_MM,SEZ6L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.221,89.0,219,9,4.11,5.30 (3.79-6.80),210,95.89,5.21 (4.91-5.50),9.17,4.42
GABA neurons expressing GLU receptors 22,714.0,0.167,41.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1247.0,0.293,98.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,191.0,0.334,63.0,93,6,6.45,5.55 (4.35-6.75),87,93.55,5.66 (5.23-6.09),6.61,3.96
GABA neurons expressing GABA receptors 13,357.0,0.253,82.0,237,1,0.42,6.49 (NA-NA),236,99.58,4.40 (4.16-4.63),6.07,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.23,61.0,306,26,8.5,3.41 (2.57-4.25),280,91.5,5.34 (5.08-5.59),10.20,6.38
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.46,96.0,103,3,2.91,5.94 (2.50-9.38),100,97.09,5.53 (5.15-5.92),2.45,3.10
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.187,92.0,122,14,11.48,3.00 (1.50-4.49),108,88.52,4.16 (3.79-4.54),4.02,3.41
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
