tipo_celular,module_size,RTL8C_MM,RTL8C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.182,53.0,266,1,0.38,1.95 (NA-NA),265,99.62,4.12 (3.91-4.33),4.64,4.98
oligodendrocyte progenitor cells 7,296.0,0.269,83.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848.0,0.277,71.0,262,1,0.38,0.55 (NA-NA),261,99.62,4.18 (3.93-4.42),6.08,4.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.297,80.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45),11.45,7.51
GABA neurons expressing GABA receptors 13,265.0,0.126,32.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,338.0,0.179,68.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,358.0,0.145,46.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.46,85.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54),23.10,8.80
astrocytes 8,520.0,0.222,74.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39),3.91,4.69
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78),11.02,5.07
oligodendrocytes 10,806.0,0.295,78.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.057,32.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,313.0,0.219,50.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57),1.33,3.82
da neurons 6,307.0,0.149,71.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,109.0,0.312,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157.0,0.138,17.0,178,0,0.0,NA,178,100.0,4.15 (3.87-4.42),NA,4.50
oligodendrocytes 0,116.0,0.115,30.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57),NA,6.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.195,79.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48),NA,5.69
oligodendrocytes 2,99.0,0.204,39.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
