tipo_celular,module_size,ZNF493_MM,ZNF493_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,35,9.92,1.58 (1.32-1.84),318,90.08,4.23 (4.06-4.40),23.15,6.40
GABA neurons expressing GLU receptors 22,823.0,0.165,41.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1316.0,0.086,16.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,289.0,0.071,2.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.569,99.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.16,67.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.054,19.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,1277.0,0.096,42.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,69.0,0.349,70.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.179,35.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.464,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.138,92.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.066,20.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.143,53.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
