tipo_celular,module_size,HEATR5A_MM,HEATR5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.123,27.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.126,68.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47),3.08,5.02
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,20,5.67,2.40 (1.50-3.31),333,94.33,4.01 (3.83-4.19),28.17,6.86
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.039,1.0,91,10,10.99,1.09 (0.44-1.74),81,89.01,5.14 (4.69-5.59),3.27,3.03
da like neurons 11,97.0,0.066,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.005,1.0,110,1,0.91,2.91 (NA-NA),109,99.09,5.02 (4.57-5.47),1.59,3.54
GABA like neurons 14,3052.0,0.139,50.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,603.0,0.036,7.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,708.0,0.133,60.0,32,9,28.12,1.73 (0.69-2.76),23,71.88,3.96 (3.03-4.90),3.63,2.19
oligodendrocytes 10,1277.0,0.047,10.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,104.0,0.406,97.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,268.0,0.093,54.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76),1.92,1.55
oligodendrocytes 16,91.0,0.304,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.291,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.15,48.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.129,81.0,238,5,2.1,2.47 (1.10-3.84),233,97.9,3.67 (3.44-3.89),8.95,4.94
microglia 1,1615.0,0.096,29.0,161,13,8.07,1.44 (0.68-2.19),148,91.93,3.47 (3.21-3.74),11.98,4.86
oligodendrocytes 3,639.0,0.052,10.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.134,33.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
