tipo_celular,module_size,PHF6_MM,PHF6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.154,38.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,610.0,0.164,59.0,98,27,27.55,1.73 (1.28-2.18),71,72.45,3.70 (3.39-4.01),7.43,2.75
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,54,15.3,2.10 (1.79-2.42),299,84.7,4.31 (4.13-4.49),20.67,5.79
GABA neurons expressing GLU receptors 22,487.0,0.112,11.0,73,6,8.22,1.48 (1.40-1.56),67,91.78,2.89 (2.48-3.30),2.61,7.75
GLU like neurons 17,380.0,0.167,46.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,145.0,0.136,23.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.07,13.0,275,51,18.55,2.22 (1.87-2.58),224,81.45,4.55 (4.29-4.82),11.53,4.60
oligodendrocytes 20,938.0,0.066,21.0,169,6,3.55,2.33 (0.32-4.34),163,96.45,3.52 (3.31-3.74),3.21,5.44
GABA like neurons 14,2402.0,0.159,27.0,455,24,5.27,1.75 (1.17-2.32),431,94.73,4.53 (4.35-4.71),19.24,8.26
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.052,18.0,276,39,14.13,1.99 (1.71-2.27),237,85.87,3.89 (3.67-4.12),10.26,4.26
oligodendrocytes 10,483.0,0.092,38.0,129,1,0.78,5.16 (NA-NA),128,99.22,3.41 (3.02-3.80),3.80,19.31
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.181,51.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,228.0,0.06,5.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,41.0,0.417,78.0,3,0,0.0,NA,3,100.0,NA,NA,1.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.116,54.0,238,13,5.46,2.63 (1.93-3.32),225,94.54,3.70 (3.47-3.93),6.34,4.95
microglia 1,958.0,0.113,52.0,290,12,4.14,2.60 (1.80-3.40),278,95.86,3.88 (3.65-4.12),7.14,4.91
oligodendrocytes 3,743.0,0.077,42.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.136,37.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
