tipo_celular,module_size,ZNF529_MM,ZNF529_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.148,41.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.147,92.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,35,9.92,2.13 (1.81-2.46),318,90.08,4.15 (3.96-4.34),12.33,7.59
GABA neurons expressing GLU receptors 22,848.0,0.175,34.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47),3.43,4.11
GLU like neurons 17,300.0,0.238,84.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,853.0,0.083,13.0,133,43,32.33,2.50 (2.17-2.84),90,67.67,3.72 (3.29-4.14),5.20,3.67
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.321,93.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.227,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.056,17.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303.0,0.108,82.0,276,28,10.14,1.77 (1.51-2.02),248,89.86,3.81 (3.59-4.04),6.49,4.95
oligodendrocytes 10,1277.0,0.032,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,77.0,0.299,56.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1768.0,0.059,22.0,105,12,11.43,1.31 (0.90-1.73),93,88.57,3.48 (3.14-3.82),4.77,3.88
oligodendrocytes 16,151.0,0.169,34.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,99.0,0.32,54.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,1807.0,0.185,99.0,104,15,14.42,1.32 (1.03-1.60),89,85.58,3.15 (2.86-3.44),6.97,5.13
oligodendrocytes 0,2078.0,0.12,61.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93),6.99,4.93
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.081,39.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,921.0,0.12,23.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
