tipo_celular,module_size,FAT4_MM,FAT4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.141,87.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,87.0,0.391,80.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.28,73.0,120,10,8.33,2.85 (2.31-3.38),110,91.67,4.79 (4.47-5.12),5.55,3.48
oligodendrocytes 20,298.0,0.048,15.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,727.0,0.142,70.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.112,52.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,183.0,0.246,41.0,32,2,6.25,2.88 (-1.05-6.80),30,93.75,5.28 (4.66-5.89),1.92,2.72
astrocytes 15,1768.0,0.047,11.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62),5.54,3.93
oligodendrocytes 16,81.0,0.187,59.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.391,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.119,11.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,479.0,0.168,62.0,40,2,5.0,4.03 (3.36-4.70),38,95.0,5.99 (5.47-6.51),1.85,3.55
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.167,89.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.249,68.0,114,16,14.04,3.92 (3.26-4.58),98,85.96,5.32 (4.87-5.77),5.68,4.18
