tipo_celular,module_size,IFNGR2_MM,IFNGR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.165,44.0,73,4,5.48,3.09 (2.82-3.35),69,94.52,3.60 (3.23-3.97),2.63,3.25
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.141,34.0,58,4,6.9,2.00 (1.20-2.79),54,93.1,4.37 (3.95-4.78),2.19,2.33
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,10,2.83,0.80 (0.36-1.24),343,97.17,4.01 (3.83-4.19),43.07,7.04
GABA neurons expressing GLU receptors 22,203.0,0.318,68.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,168.0,0.108,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.104,26.0,155,1,0.65,3.42 (NA-NA),154,99.35,4.35 (3.98-4.71),1.55,4.35
oligodendrocytes 20,322.0,0.037,8.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.322,70.0,455,9,1.98,1.07 (0.30-1.83),446,98.02,4.43 (4.25-4.61),41.75,8.17
astrocytes 8,218.0,0.048,21.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,1049.0,0.068,33.0,235,2,0.85,2.52 (0.11-4.92),233,99.15,3.84 (3.60-4.07),7.04,7.62
oligodendrocytes 10,2107.0,0.171,59.0,358,12,3.35,0.71 (0.44-0.97),346,96.65,4.01 (3.83-4.19),31.07,8.72
connective tissue cells 21,111.0,0.204,9.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,338.0,0.093,10.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,121.0,0.329,99.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.362,63.0,120,24,20.0,2.48 (1.90-3.07),96,80.0,3.97 (3.66-4.29),3.33,2.66
astrocytes 4,1807.0,0.141,43.0,104,5,4.81,1.40 (0.11-2.69),99,95.19,2.94 (2.66-3.22),12.46,5.04
oligodendrocytes 0,86.0,0.149,42.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,480.0,0.201,55.0,163,9,5.52,3.36 (2.46-4.26),154,94.48,3.73 (3.45-4.01),3.86,5.24
oligodendrocytes 3,743.0,0.092,64.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,1630.0,0.137,40.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
