tipo_celular,module_size,VXN_MM,VXN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.079,5.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.135,51.0,353,9,2.55,0.67 (0.30-1.03),344,97.45,4.00 (3.82-4.18),48.44,7.01
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.159,65.0,135,3,2.22,1.01 (0.55-1.46),132,97.78,3.25 (2.94-3.56),4.08,3.74
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77.0,0.17,49.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.096,35.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74),3.88,5.38
GABA like neurons 14,2402.0,0.131,18.0,455,7,1.54,0.55 (0.33-0.77),448,98.46,4.42 (4.24-4.60),38.97,8.36
astrocytes 8,771.0,0.082,32.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303.0,0.079,50.0,276,3,1.09,1.22 (0.43-2.02),273,98.91,3.57 (3.36-3.79),16.57,4.98
oligodendrocytes 10,1277.0,0.131,65.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.245,92.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,74.0,0.184,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.349,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.167,87.0,104,5,4.81,0.88 (0.28-1.49),99,95.19,2.97 (2.69-3.25),14.48,4.94
oligodendrocytes 0,613.0,0.162,68.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.095,67.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.259,76.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75),7.99,4.60
