tipo_celular,module_size,TTN_MM,TTN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.092,7.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,499.0,0.255,90.0,32,2,6.25,5.16 (NA-NA),30,93.75,5.02 (4.50-5.54),1.58,3.94
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,489.0,0.417,97.0,42,2,4.76,4.84 (0.60-9.08),40,95.24,6.07 (5.53-6.62),2.06,3.27
da like neurons 11,132.0,0.242,49.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.23,54.0,62,8,12.9,3.85 (2.85-4.86),54,87.1,4.07 (3.58-4.56),2.63,4.44
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.069,3.0,455,50,10.99,3.19 (2.59-3.78),405,89.01,4.53 (4.34-4.71),17.78,7.73
astrocytes 8,727.0,0.085,34.0,29,3,10.34,3.81 (NA-NA),26,89.66,2.31 (1.81-2.81),1.76,3.75
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.172,93.0,96,28,29.17,4.08 (3.44-4.72),68,70.83,3.38 (2.80-3.97),3.47,3.93
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,89.0,0.45,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.186,55.0,45,4,8.89,7.00 (NA-NA),41,91.11,5.22 (4.59-5.86),2.13,3.20
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
