tipo_celular,module_size,UBAC1_MM,UBAC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.134,32.0,71,4,5.63,1.93 (0.66-3.20),67,94.37,2.67 (2.24-3.10),5.35,3.47
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.081,3.0,353,31,8.78,2.03 (1.48-2.58),322,91.22,4.12 (3.94-4.30),27.62,6.18
GABA neurons expressing GLU receptors 22,400.0,0.286,88.0,24,9,37.5,1.04 (0.34-1.73),15,62.5,2.83 (2.39-3.26),5.59,2.38
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.109,34.0,133,13,9.77,1.05 (0.54-1.55),120,90.23,3.52 (3.21-3.82),6.20,3.94
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.079,7.0,302,6,1.99,2.52 (1.26-3.79),296,98.01,4.02 (3.79-4.25),8.80,10.69
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.168,59.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,254.0,0.038,8.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22),2.15,2.49
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.3,37.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.072,5.0,161,29,18.01,2.03 (1.44-2.61),132,81.99,3.61 (3.34-3.88),10.17,4.39
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
