tipo_celular,module_size,EXOSC10_MM,EXOSC10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.081,6.0,136,13,9.56,3.24 (2.11-4.37),123,90.44,3.20 (2.93-3.48),5.32,4.95
oligodendrocyte progenitor cells 7,4285.0,0.139,57.0,353,74,20.96,2.51 (2.18-2.84),279,79.04,4.40 (4.23-4.58),19.37,5.06
GABA neurons expressing GLU receptors 22,714.0,0.179,50.0,17,7,41.18,3.06 (2.47-3.64),10,58.82,1.78 (1.02-2.55),2.17,4.54
GLU like neurons 17,795.0,0.074,12.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,853.0,0.043,1.0,133,45,33.83,2.06 (1.75-2.37),88,66.17,4.04 (3.67-4.42),5.51,3.47
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.104,16.0,74,9,12.16,1.97 (1.71-2.24),65,87.84,3.08 (2.66-3.49),3.57,11.46
astrocytes 8,260.0,0.029,2.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.133,95.0,276,51,18.48,2.33 (1.99-2.67),225,81.52,3.93 (3.69-4.17),10.17,3.96
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.054,17.0,105,30,28.57,2.17 (1.70-2.63),75,71.43,3.68 (3.29-4.07),6.61,2.93
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.321,48.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,1807.0,0.132,27.0,104,33,31.73,1.90 (1.58-2.22),71,68.27,3.37 (3.03-3.70),10.07,3.22
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
