tipo_celular,module_size,PRKCQ_MM,PRKCQ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.101,17.0,68,23,33.82,4.72 (3.72-5.72),45,66.18,4.10 (3.49-4.70),2.32,3.82
astrocytes 5,1656.0,0.107,35.0,136,6,4.41,1.97 (1.31-2.62),130,95.59,3.27 (3.00-3.55),6.60,4.91
oligodendrocyte progenitor cells 7,229.0,0.105,13.0,45,5,11.11,5.27 (4.71-5.84),40,88.89,4.96 (4.25-5.67),2.75,5.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.236,71.0,36,12,33.33,1.86 (1.62-2.11),24,66.67,1.95 (1.43-2.48),1.90,3.74
GABA like neurons 14,2090.0,0.078,5.0,74,12,16.22,2.13 (1.92-2.35),62,83.78,3.13 (2.68-3.57),3.56,11.84
astrocytes 8,771.0,0.112,46.0,48,7,14.58,6.85 (4.45-9.25),41,85.42,3.99 (3.30-4.68),3.71,3.05
oligodendrocyte progenitor cells 12,708.0,0.07,25.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,2107.0,0.169,58.0,358,70,19.55,2.43 (2.12-2.75),288,80.45,4.35 (4.16-4.55),16.58,7.74
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.063,28.0,36,5,13.89,8.14 (7.87-8.41),31,86.11,2.61 (1.87-3.36),1.64,2.73
oligodendrocytes 16,91.0,0.187,33.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,70.0,0.353,72.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,1807.0,0.141,43.0,104,20,19.23,1.77 (1.39-2.15),84,80.77,3.15 (2.84-3.46),6.63,5.10
oligodendrocytes 0,479.0,0.188,76.0,40,16,40.0,6.10 (5.07-7.13),24,60.0,5.70 (5.17-6.23),3.42,3.50
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.133,77.0,111,5,4.5,4.97 (3.14-6.79),106,95.5,3.23 (2.89-3.58),1.78,4.35
oligodendrocytes 2,348.0,0.198,50.0,114,35,30.7,4.87 (4.20-5.54),79,69.3,5.26 (4.74-5.78),7.06,3.21
