tipo_celular,module_size,TMEM126B_MM,TMEM126B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,487.0,0.225,54.0,73,1,1.37,3.22 (NA-NA),72,98.63,2.75 (2.36-3.14),1.45,7.41
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.022,4.0,110,2,1.82,1.99 (1.51-2.46),108,98.18,5.07 (4.63-5.52),4.04,3.52
GABA like neurons 14,2402.0,0.292,64.0,455,24,5.27,2.48 (1.69-3.27),431,94.73,4.48 (4.30-4.66),26.75,7.84
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.055,9.0,261,10,3.83,2.24 (1.89-2.58),251,96.17,4.48 (4.24-4.72),5.97,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,94.0,0.385,97.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,409.0,0.132,55.0,235,8,3.4,2.77 (2.19-3.34),227,96.6,4.04 (3.78-4.29),10.65,4.20
astrocytes microglia 23,103.0,0.328,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.088,4.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.063,16.0,345,7,2.03,2.47 (1.83-3.11),338,97.97,4.33 (4.12-4.54),4.13,5.72
oligodendrocytes 2,1630.0,0.142,50.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
