tipo_celular,module_size,FARSA_MM,FARSA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.161,43.0,410,10,2.44,2.35 (1.70-3.00),400,97.56,4.31 (4.13-4.50),12.79,7.38
GABA neurons expressing GABA receptors 13,86.0,0.205,79.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.287,63.0,455,19,4.18,1.74 (1.27-2.20),436,95.82,4.50 (4.32-4.68),22.10,8.26
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.101,40.0,122,10,8.2,1.64 (1.09-2.18),112,91.8,4.27 (3.88-4.67),4.99,3.35
astrocytes microglia 23,99.0,0.367,75.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
