tipo_celular,module_size,TUBE1_MM,TUBE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.138,84.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50),6.23,4.98
oligodendrocyte progenitor cells 7,4285.0,0.215,100.0,353,22,6.23,1.88 (1.32-2.44),331,93.77,4.05 (3.87-4.23),16.64,7.49
GABA neurons expressing GLU receptors 22,599.0,0.111,6.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,795.0,0.156,63.0,80,3,3.75,4.43 (4.17-4.69),77,96.25,5.73 (5.30-6.15),1.71,3.06
da like neurons 11,168.0,0.116,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.078,8.0,74,4,5.41,3.91 (2.44-5.37),70,94.59,5.60 (5.03-6.18),3.05,3.67
oligodendrocytes 20,271.0,0.314,89.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052.0,0.168,74.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,262.0,0.07,13.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,13,4.71,2.45 (1.71-3.19),263,95.29,3.60 (3.38-3.83),3.37,5.20
oligodendrocytes 10,1277.0,0.092,40.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,118.0,0.317,55.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1768.0,0.065,28.0,105,5,4.76,1.09 (0.48-1.70),100,95.24,3.33 (2.99-3.66),4.00,3.98
oligodendrocytes 16,121.0,0.195,36.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.365,74.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807.0,0.185,99.0,104,3,2.88,0.66 (0.07-1.25),101,97.12,2.93 (2.66-3.21),5.97,5.38
oligodendrocytes 0,2078.0,0.128,79.0,238,6,2.52,1.98 (0.89-3.06),232,97.48,3.68 (3.46-3.90),4.89,5.03
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.086,57.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,347.0,0.132,13.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
